S no,State,Literacy,Male,Female,% Change
"-","India",0.7404,0.8214,0.6546,0.0866
"1","Kerala",0.94,0.9611,0.9207,0.0314
"2","Lakshadweep",0.9185,0.9556,0.8795,0.0519
"3","Mizoram",0.9133,0.9335,0.8927,0.0253
"4","Goa",0.887,0.9265,0.8466,0.0669
"5","Tripura",0.8722,0.9153,0.8273,0.1403
"6","Daman and Diu",0.871,0.9154,0.7955,0.0892
"7","Andaman and Nicobar Islands",0.8663,0.9027,0.8243,0.0533
"8","Delhi",0.8621,0.9094,0.8076,0.0454
"9","Chandigarh",0.8605,0.8999,0.8119,0.0411
"10","Puducherry",0.8585,0.9126,0.8067,0.0461
"11","Himachal Pradesh",0.828,0.8953,0.7593,0.0632
"12","Maharashtra",0.8234,0.8838,0.7587,0.0546
"13","Sikkim",0.8142,0.8655,0.7561,0.1261
"14","Tamil Nadu",0.8009,0.8677,0.7344,0.0664
"15","Nagaland",0.7955,0.8275,0.7611,0.1296
"16","Uttarakhand",0.7882,0.874,0.7001,0.072
"17","Gujarat",0.7803,0.8575,0.6968,0.0889
"18","Manipur",0.7694,0.8358,0.7026,0.1033
"19","West Bengal",0.7626,0.8169,0.7054,0.0762
"20","Dadra and Nagar Haveli",0.7624,0.8517,0.6432,0.1861
"21","Punjab",0.7584,0.8044,0.7073,0.0619
"22","Haryana",0.7555,0.8406,0.6594,0.0764
"23","Karnataka",0.7536,0.8247,0.6808,0.0872
"24","Meghalaya",0.7443,0.7595,0.7289,0.1187
"25","Orissa",0.7287,0.8159,0.6401,0.0979
"26","Assam",0.7219,0.7785,0.6627,0.0894
"27","Chhattisgarh",0.7028,0.8027,0.6024,0.0562
"28","Madhya Pradesh",0.6932,0.7873,0.5924,0.0558
"29","Uttar Pradesh",0.6768,0.7728,0.5718,0.1141
"30","Jammu and Kashmir",0.6716,0.7675,0.5643,0.1164
"31","Andhra Pradesh",0.6702,0.7488,0.5915,0.0655
"32","Jharkhand",0.6641,0.7684,0.5542,0.1285
"33","Rajasthan",0.6611,0.7919,0.5212,0.057
"34","Arunachal Pradesh",0.6538,0.7255,0.577,0.1104
"35","Bihar",0.618,0.712,0.515,0.148
